id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23187762,Super offre SpringBreak!,172397112,Catherine,,Quartier 4-2,46.88318,-71.28398,Entire home/apt,90,5,0,,,1,0
23188217,Belle grande chambre dans Limoilou,25279928,Toufik,,Vieux-Limoilou,46.82671,-71.22964,Private room,25,2,1,2018-04-04,0.09,2,0
23188260,Mignonne maison Familiale/ My cute family house ;),44030053,Frederic,,Vieux-Moulin,46.847,-71.226,Entire home/apt,84,7,0,,,1,0
23189540,Superbe chambe dans belle maison neuve à Beauport,172419057,Mélanie,,Quartier 5-1,46.89647,-71.22042,Private room,46,3,11,2018-08-22,0.92,1,0
23213097,Chambre comfortable dans un chic condo,172641244,Caro,,Des Châtels,46.85161,-71.40337,Private room,46,1,0,,,2,89
23220078,votre chalet en ville,172718385,Stephane,,Maizerets,46.84283,-71.22332,Entire home/apt,54,1,13,2019-02-20,1.14,2,90
23221730,Belle chambre acueillante,156320486,Rafael,,Duberger-Les Saules,46.81582,-71.29653,Private room,40,1,1,2018-03-31,0.09,2,341
23222168,Maison accueillante recherche des visiteurs,142296004,Anne-Marie,,Duberger-Les Saules,46.82676,-71.33175,Entire home/apt,100,3,2,2018-08-17,0.24,1,0
23249923,AUTHENTIC APARTMENT NEAR OLD PORT QUÉBEC,173032985,Jean-François,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81578,-71.20361,Entire home/apt,119,1,56,2019-02-24,4.40,2,321
23250484,Nice renovated quiet 4 1/2 appt in Ville de Quebec,166792203,Tiantian,,Saint-Sauveur,46.81135,-71.2378,Entire home/apt,68,3,6,2018-12-01,0.63,3,0
23260951,"Joli appartement: calme, propre,entièrement équipé",46889944,Sandrine,,Cité Universitaire,46.79406,-71.26907,Entire home/apt,50,4,10,2018-09-01,1.03,1,310
23269932,3 month only. 3 mois minimum. 1 chambre,173208206,Pierre Albert,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81333,-71.2087,Private room,42,1,0,,,1,173
23273663,Small basement flat in Montcalm,171481008,Frank,,Montcalm,46.80158,-71.227,Entire home/apt,50,1,49,2019-02-19,3.98,2,82
23275142,Lit king dans chambre confortable et chaleureuse !,173253131,Cindy,,Pointe-de-Sainte-Foy,46.76419,-71.332,Private room,60,1,12,2019-02-17,1.44,1,4
23275277,Le Chaleureux,125954933,Peter,,Saint-Roch,46.81433,-71.22457,Entire home/apt,75,1,48,2019-02-24,3.93,6,317
23276130,Couette et café,67980892,Lise,,Quartier 5-2,46.88185,-71.20865,Private room,32,1,3,2018-04-15,0.26,1,0
23284408,Maison à Québec ( house at Quebec),173189660,François,,Saint-Émile,46.87427,-71.32863,Entire home/apt,185,4,4,2019-01-02,0.52,1,3
